country,iso3,indicator_name,indicator_code,year,value
Aruba,ABW,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,2000,0.2686
Aruba,ABW,"Tariff rate, applied, weighted mean, manufactured products (%)",TM.TAX.MANF.WM.AR.ZS,2000,
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,2000,416167815092.908
Australia,AUS,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,2000,48.5575418822483
Australia,AUS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2000,3.9215029305806
Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,21870.4159669594
Australia,AUS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2000,4.45743514797223
Australia,AUS,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,2000,2.5507652827131
Australia,AUS,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,2000,59.171
Australia,AUS,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,2000,14892978180.1828
Australia,AUS,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,2000,26.2504640290701
Australia,AUS,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,2000,18.5380745283503
Australia,AUS,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2000,-15487273891.4343
Australia,AUS,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,2000,18821546023.5147
Australia,AUS,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,2000,
Australia,AUS,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,2000,29.5228121217974
Australia,AUS,Exports of goods and services (current US$),NE.EXP.GNFS.CD,2000,80695888525.1996
Australia,AUS,Imports of goods and services (current US$),NE.IMP.GNFS.CD,2000,89663284607.9064
Australia,AUS,Trade (% of GDP),NE.TRD.GNFS.ZS,2000,40.9352109785505
Australia,AUS,Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),EN.GHG.CO2.RT.GDP.PP.KD,2000,0.413136795092585
Australia,AUS,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,2000,353.8697
Australia,AUS,"Tariff rate, applied, weighted mean, manufactured products (%)",TM.TAX.MANF.WM.AR.ZS,2000,5.81
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,2000,196181599831.287
Austria,AUT,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,2000,69.989256400729
Austria,AUT,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2000,3.18952292988787
Austria,AUT,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,24487.2974685956
Austria,AUT,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2000,2.34486285357281
Austria,AUT,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,2000,1.36731376651514
Austria,AUT,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,2000,55.934
Austria,AUT,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,2000,8501013450.0
Austria,AUT,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,2000,25.9400787116929
Austria,AUT,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,2000,19.3282687281008
Austria,AUT,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2000,
Austria,AUT,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,2000,17649557521.9085
Austria,AUT,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,2000,
Austria,AUT,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,2000,
Austria,AUT,Exports of goods and services (current US$),NE.EXP.GNFS.CD,2000,85517700615.7602
Austria,AUT,Imports of goods and services (current US$),NE.IMP.GNFS.CD,2000,82889700573.0198
Austria,AUT,Trade (% of GDP),NE.TRD.GNFS.ZS,2000,85.8426077336549
Austria,AUT,Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),EN.GHG.CO2.RT.GDP.PP.KD,2000,0.155305285670899
Austria,AUT,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,2000,66.6907
Austria,AUT,"Tariff rate, applied, weighted mean, manufactured products (%)",TM.TAX.MANF.WM.AR.ZS,2000,2.14
Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,2000,5272615722.96892
Azerbaijan,AZE,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,2000,69.8193639087621
Azerbaijan,AZE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2000,11.0999991434346
Azerbaijan,AZE,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,655.097249579917
Azerbaijan,AZE,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2000,
Azerbaijan,AZE,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,2000,12.4927738128452
Azerbaijan,AZE,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,2000,68.424
Azerbaijan,AZE,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,2000,129937000.0
Azerbaijan,AZE,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,2000,20.6735762277188
